BusinessName,DBAName,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Location
LULUS' ALLSTON,,Active,FS,Eating & Drinking,06/14/2013 09:36:41 AM,+10000000000,"(42.355123, -71.134062)"
MADONNA SHRINE,,Active,FS,Eating & Drinking,12/07/2006 01:35:21 PM,+16175672100,"(42.38998, -71.005509)"
Maki Maki,,Active,FS,Eating & Drinking,02/18/2011 02:27:15 PM,+10000000000,"(42.36267, -71.13595)"
Mama Blanca Restaurant,,Active,FS,Eating & Drinking,01/27/2010 10:14:38 AM,+16175616400,"(42.38594, -71.00511)"
Mama's Place,,Active,FT,Eating & Drinking w/ Take Out,02/06/2014 02:20:24 PM,+16175661300,"(42.33331, -71.10601)"
Mana Escondido Cafe,,Active,FT,Eating & Drinking w/ Take Out,10/10/2012 02:19:55 PM,+10000000000,"(42.342688, -71.076901)"
Mandarin House Restaurant,,Active,FT,Eating & Drinking w/ Take Out,03/19/2010 03:07:16 PM,+16173273131,"(42.278822, -71.119401)"
MANGIA MANGIA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:00 PM,+10000000000,"(42.365007, -71.057242)"
Mangia Neapolitan Pizzeria,,Active,FT,Eating & Drinking w/ Take Out,11/09/2012 02:39:55 PM,+16175943838,"(42.3417, -71.08078)"
MANULIFE,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:07 PM,+12017253568,"(42.347435, -71.039879)"
MARCO POLO,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:23 PM,+10000000000,"(42.35043, -71.05007)"
Maria's Taqueria,,Active,FS,Eating & Drinking,03/20/2008 12:58:55 PM,+16178773258,"(42.35139, -71.06457)"
Marketplace Cafe & Take Away,,Active,FS,Eating & Drinking,12/07/2006 01:35:07 PM,+16178223600,"(42.319024, -71.045007)"
Marriott Copley Plaza (28th Fl.),,Active,FS,Eating & Drinking,02/22/2012 03:07:36 PM,+16172365800,"(42.347082, -71.078373)"
Mary Ann's Monday Morning  Inc.,,Active,FS,Eating & Drinking,12/07/2006 01:33:51 PM,+10005663253,"(42.335908, -71.149254)"
Maryann's Breakfast & Lunch,,Active,FT,Eating & Drinking w/ Take Out,10/16/2007 10:42:04 AM,+16172598217,"(42.2619, -71.15742)"
MASA,,Active,FS,Eating & Drinking,12/07/2006 01:35:11 PM,+16174351453,"(42.346725, -71.069653)"
Mashawi Grill,,Active,FS,Eating & Drinking,09/27/2013 03:33:35 PM,+16174875575,"(42.341091, -71.146838)"
Masona Grill,,Active,FS,Eating & Drinking,01/28/2008 08:43:48 AM,+16173233331,"(42.28468, -71.15523)"
Mass Bay Lines/Freedom,,Active,FS,Eating & Drinking,12/07/2006 01:35:27 PM,+16179510700,"(42.356532, -71.050251)"
Mass Bay Lines/Sam Clemens,,Active,FS,Eating & Drinking,12/07/2006 01:35:27 PM,+16179510700,"(42.356532, -71.050251)"
MASS EYE AND EAR INFIRMARY,,Active,FS,Eating & Drinking,12/07/2006 01:35:30 PM,+10005733145,"(42.36275, -71.07009)"
MASS GEN.HOSP./THE PLAZA CAFE,,Active,FS,Eating & Drinking,12/07/2006 01:36:24 PM,+16177262520,"(42.362108, -71.066059)"
Mass General Hospital Cafe,,Active,FS,Eating & Drinking,12/07/2006 01:34:01 PM,+16177262000,"(42.36259, -71.07014)"
Massachusetts Eye & Ear Infirmary (Cart),,Active,FT,Eating & Drinking w/ Take Out,03/24/2010 02:37:37 PM,+16175733147,"(42.362781, -71.070319)"
Massachusetts Eye & Ear@ Longwood,,Active,FT,Eating & Drinking w/ Take Out,08/20/2012 09:56:04 AM,+16175733954,"(42.333002, -71.107495)"
Massiminos Cucina,,Active,FS,Eating & Drinking,12/07/2006 01:34:00 PM,+16175235959,"(42.366578, -71.057928)"
MASTER WOK,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:24 PM,+19087568888,"(42.351914, -71.055389)"
Mattapan House of Pizza,,Active,FT,Eating & Drinking w/ Take Out,03/09/2012 08:24:48 AM,+16172985810,"(42.268453, -71.094131)"
MATTHEWS ARENA CONCESSION,,Active,FS,Eating & Drinking,12/07/2006 01:34:48 PM,+16173733130,"(42.341323, -71.084481)"
MAURIZIO'S,,Active,FS,Eating & Drinking,12/07/2006 01:34:31 PM,+16173671123,"(42.36535, -71.0532)"
Max Brenner,,Active,FS,Eating & Drinking,07/14/2010 11:22:23 AM,+10000000000,"(42.349421, -71.080611)"
MAY'S CAFE,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:23 PM,+16177821688,"(42.349451, -71.135179)"
Mcdonalds,,Active,FT,Eating & Drinking w/ Take Out,07/20/2011 09:29:24 AM,+16175239609,"(42.35705, -71.059182)"
Mcdonalds,,Active,FT,Eating & Drinking w/ Take Out,04/30/2014 01:36:28 PM,+16178679512,"(42.348492, -71.096725)"
McDonald's,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:28 PM,+16175621313,"(42.350727, -71.13097)"
McDonald's,,Active,FT,Eating & Drinking w/ Take Out,07/30/2010 08:45:08 AM,+10000000000,"(42.264402, -71.16782)"
McDonald's,,Active,FT,Eating & Drinking w/ Take Out,02/10/2014 10:56:19 AM,+12039159525,"(42.37445, -71.04028)"
McDonald's,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:30 PM,+16175664888,"(42.338284, -71.106989)"
McDonald's,,Active,FT,Eating & Drinking w/ Take Out,07/30/2010 08:50:58 AM,+10000000000,"(42.290394, -71.07187)"
McDonald's,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:26 PM,+16173544027,"(42.350021, -71.055941)"
McDonald's,,Active,FT,Eating & Drinking w/ Take Out,07/30/2010 08:32:32 AM,+10000000000,"(42.2828, -71.1131)"
MCDONALD'S REST,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:00 PM,+16176984676,"(42.29878, -71.06296)"
McDonald's(3060 Washington St.),,Active,FT,Eating & Drinking w/ Take Out,01/11/2007 10:54:41 AM,+16175048138,"(42.31579, -71.09794)"
MCGANN'S BOSTON,,Active,FS,Eating & Drinking,12/07/2006 01:34:43 PM,+16177780089,"(42.36451, -71.06171)"
McGreevys,,Active,FS,Eating & Drinking,12/07/2006 01:36:17 PM,+16172963237,"(42.348439, -71.084391)"
MCKENNA'S CAFE,,Active,FS,Eating & Drinking,12/07/2006 01:36:14 PM,+16174367676,"(42.311515, -71.05382)"
MEDITERRANEAN GRILL,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:15 PM,+17812727782,"(42.35693, -71.05306)"
Mehak Restaurant,,Active,FS,Eating & Drinking,07/31/2009 02:41:05 PM,+17813468936,"(42.36711, -71.03607)"
Mei Mei,,Active,FS,Eating & Drinking,06/26/2013 10:59:25 AM,+16178510132,"(42.34766, -71.105821)"
MELA RESTAURANT,,Active,FS,Eating & Drinking,12/12/2006 02:21:15 PM,+16172624770,"(42.343311, -71.072437)"
