BusinessName,DBAName,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Location
# 7 RESTAURANT,,Active,FT,Eating & Drinking w/ Take Out,03/23/2007 03:20:59 PM,+10000000000,"(42.261873, -71.15741)"
20TH CENTRY BOWLING LANES,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:04 PM,+13392372645,"(42.25682, -71.12411)"
21 ST. AMENDMENT,,Active,FS,Eating & Drinking,12/07/2006 01:34:35 PM,+16172277100,"(42.358336, -71.062581)"
224 BOSTON STREET,,Active,FS,Eating & Drinking,12/07/2006 01:35:12 PM,+16175136545,"(42.322272, -71.060848)"
49 Social,,Active,FS,Eating & Drinking,03/21/2011 01:03:16 PM,+16173389600,"(42.35493, -71.061809)"
5 Napkin Burger,,Active,FS,Eating & Drinking,11/05/2010 11:35:09 AM,+16173752277,"(42.346865, -71.080632)"
7 Pond Coffee Bar,,Active,FT,Eating & Drinking w/ Take Out,08/15/2013 08:59:40 AM,+10000000000,"(42.3149, -71.11427)"
73 Cafe,,Active,FS,Eating & Drinking,06/25/2010 10:28:32 AM,+16172234408,"(42.35788, -71.06082)"
75 CHESTNUT,,Active,FS,Eating & Drinking,12/07/2006 01:34:54 PM,+16172272175,"(42.356898, -71.070971)"
99 RESTAURANT AND PUB,,Active,FS,Eating & Drinking,12/07/2006 01:34:27 PM,+16152568500,"(42.374884, -71.067065)"
A & N PIZZA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:14 PM,+16173232211,"(42.29413, -71.13674)"
A @ Time,,Active,FT,Eating & Drinking w/ Take Out,11/19/2012 01:13:38 PM,+10000000000,"(42.355123, -71.134062)"
A K's Take Out,,Active,FT,Eating & Drinking w/ Take Out,01/10/2008 11:12:29 AM,+16175923969,"(42.339955, -71.049226)"
A K's Take Out & Delivery,,Active,FT,Eating & Drinking w/ Take Out,10/31/2007 03:33:00 PM,+16175410300,"(42.331858, -71.096333)"
Abbott's Frozen Custard,,Active,FT,Eating & Drinking w/ Take Out,12/02/2010 10:46:36 AM,+15087350970,"(42.348955, -71.153641)"
Abby Lane,,Active,FS,Eating & Drinking,05/01/2012 02:10:49 PM,+17812548888,"(42.35044, -71.06535)"
ABE & LOUIE'S,,Active,FS,Eating & Drinking,04/04/2011 03:19:34 PM,+16175364200,"(42.34924, -71.0816)"
Adams B & B,,Active,FS,Eating & Drinking,12/07/2006 01:35:30 PM,+16172672262,"(42.34606, -71.08786)"
AFC Sushi @ Shaw's #586,,Active,FT,Eating & Drinking w/ Take Out,03/06/2014 09:48:47 AM,+16172981462,"(42.271841, -71.069999)"
AFC Sushi @ Suffolk University,,Active,FS,Eating & Drinking,09/03/2009 01:33:14 PM,+16173649375,"(42.36, -71.06383)"
AFC Sushi @ Walgreens #15390,,Active,FT,Eating & Drinking w/ Take Out,04/24/2013 01:58:51 PM,+10000000000,"(42.357327, -71.058968)"
AFC SUSHI @SIMMONS COLLEGE,,Active,FS,Eating & Drinking,08/20/2010 10:13:45 AM,+16173649375,"(42.33931, -71.09996)"
AL CAPONE,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:52 PM,+10000000000,"(42.35402, -71.05813)"
AL DENTE RISTORANTE,,Active,FS,Eating & Drinking,12/07/2006 01:34:30 PM,+16175230990,"(42.36421, -71.05536)"
ALEX PIZZA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:33 PM,+16178339626,"(42.342301, -71.067378)"
ALFREDO'S ITALIAN KITCHEN,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:02 PM,+16174581231,"(42.332855, -71.051318)"
ALI ROTI RESTAURANT,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:58 PM,+16172989850,"(42.33666, -71.08563)"
Alibi,,Active,FS,Eating & Drinking,12/14/2011 08:20:31 AM,+18572411144,"(42.36203, -71.070362)"
ALLIS ROTI + MEAT MARKET,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:12 PM,+16172989850,"(42.28377, -71.09129)"
Allston Diner,,Active,FS,Eating & Drinking,01/23/2012 09:21:55 AM,+16172088741,"(42.355123, -71.134062)"
Al's South St. Express,,Active,FT,Eating & Drinking w/ Take Out,12/13/2007 10:39:20 AM,+10000000000,"(42.352051, -71.057585)"
Al-Wadi Restaurant,,Active,FS,Eating & Drinking,07/28/2010 08:29:14 AM,+16173233236,"(42.27724, -71.17261)"
AMC Theatres Boston Common 19,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:25 PM,+18164805862,"(42.35315, -71.06403)"
Amelia's Taqueria,,Active,FT,Eating & Drinking w/ Take Out,04/04/2013 01:29:03 PM,+16177877672,"(42.353014, -71.133631)"
American Bakers,,Active,FT,Eating & Drinking w/ Take Out,02/14/2008 08:17:21 AM,+16179099937,"(42.37556, -71.053919)"
Americano Espresso Bar,,Active,FT,Eating & Drinking w/ Take Out,02/13/2007 08:24:51 AM,+16175938079,"(42.373853, -71.038885)"
Amici,,Active,FS,Eating & Drinking,11/01/2012 08:39:33 AM,+16177422998,"(42.365582, -71.058131)"
AMSTERDAM CAFE,,Active,FT,Eating & Drinking w/ Take Out,12/13/2012 08:26:59 AM,+16174646488,"(42.335274, -71.04559)"
AN TAIN,,Active,FS,Eating & Drinking,12/07/2006 01:35:04 PM,+17815368136,"(42.35823, -71.05315)"
ANDREW SQUARE HOUSE OF PIZZA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:34 PM,+16172681940,"(42.33003, -71.05655)"
Angela's Cafe,,Active,FT,Eating & Drinking w/ Take Out,08/02/2007 01:36:55 PM,+10000000000,"(42.37853, -71.035)"
ANH HONG RESTAURANT  LLC,,Active,FS,Eating & Drinking,12/07/2006 01:36:10 PM,+16172658889,"(42.299183, -71.05818)"
Anna Hand Cut Donuts,,Active,FS,Eating & Drinking,12/07/2006 01:33:55 PM,+16173232680,"(42.280014, -71.158191)"
Anna's Taqueria,,Active,FS,Eating & Drinking,06/09/2008 01:08:50 PM,+16172278822,"(42.36093, -71.0671)"
Anshur Restauruant,,Active,FT,Eating & Drinking w/ Take Out,09/29/2008 01:44:43 PM,+16174270599,"(42.33041, -71.0943)"
ANTHONY'S CAFE,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:38 PM,+16177422987,"(42.36399, -71.05137)"
ANTICO FORNO,,Active,FS,Eating & Drinking,12/07/2006 01:34:46 PM,+16177428441,"(42.363742, -71.055591)"
ANTONIO'S ITALIANO CUCINA,,Active,FS,Eating & Drinking,12/07/2006 01:34:35 PM,+16173673310,"(42.360951, -71.06816)"
APPLEBEE'S NEIGHBORHOOD GRILL,,Active,FS,Eating & Drinking,10/25/2011 02:06:55 PM,+16174427139,"(42.326047, -71.063611)"
Appleton Bakery & Cafe,,Active,FT,Eating & Drinking w/ Take Out,01/17/2013 01:28:31 PM,+16178598222,"(42.345259, -71.074714)"
ARAMARK @ SULLIVAN & WORCESTER,,Active,FS,Eating & Drinking,12/07/2006 01:35:41 PM,+15082231929,"(42.356797, -71.054981)"
Aramark at Houghton Mifflin,,Active,FS,Eating & Drinking,01/10/2007 10:18:56 AM,+16173513020,"(42.35084, -71.07311)"
Arboretum Grill,,Active,FS,Eating & Drinking,10/14/2011 08:30:39 AM,+16173239100,"(42.29201, -71.12244)"
ARCHIE'S NEW YORK DELI,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:36 PM,+16173305145,"(42.355042, -71.059128)"
Archie's Place,,Active,FT,Eating & Drinking w/ Take Out,02/19/2013 10:28:29 AM,+16177233354,"(42.357884, -71.058215)"
Aria Trattoria,,Active,FS,Eating & Drinking,02/01/2013 01:42:43 PM,+16177421276,"(42.363223, -71.054789)"
Arizona B B Q,,Active,FT,Eating & Drinking w/ Take Out,03/04/2008 02:08:38 PM,+16174422999,"(42.32937, -71.08446)"
ARTU,,Active,FS,Eating & Drinking,12/07/2006 01:34:40 PM,+16177424336,"(42.35859, -71.07049)"
ASAKI,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:34 PM,+16175626333,"(42.349342, -71.153159)"
Ashburton Cafe,,Active,FS,Eating & Drinking,04/06/2007 01:51:49 PM,+16177994625,"(42.359276, -71.062359)"
ASHMONT GRILL,,Active,FS,Eating & Drinking,12/07/2006 01:36:25 PM,+18254300000,"(42.286091, -71.064728)"
Asia Wok,,Active,FT,Eating & Drinking w/ Take Out,12/03/2007 09:44:52 AM,+16172545445,"(42.354462, -71.13227)"
Asian House,,Active,FT,Eating & Drinking w/ Take Out,09/05/2013 09:04:41 AM,+17818546253,"(42.38254, -71.0792)"
ASIAN THAI EATERY INC.,,Active,FS,Eating & Drinking,12/07/2006 01:36:17 PM,+16173614448,"(42.258784, -71.117741)"
ASSAGGIO RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:34:47 PM,+10003958805,"(42.364563, -71.05416)"
Asta,,Active,FS,Eating & Drinking,08/29/2012 10:49:31 AM,+16178234664,"(42.349818, -71.089268)"
ATLANTIC FISH COMPANY,,Active,FS,Eating & Drinking,04/04/2011 02:50:20 PM,+16175364200,"(42.34935, -71.08121)"
ATRIUM CAFE/HARVARD MED.SCHOOL,,Active,FS,Eating & Drinking,12/07/2006 01:36:23 PM,+16174326169,"(42.336981, -71.10415)"
Au Bon Pain,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:17 PM,+16178975079,"(42.36384, -71.06166)"
Au Bon Pain,,Active,FT,Eating & Drinking w/ Take Out,02/10/2014 10:02:22 AM,+16175616020,"(42.337388, -71.106281)"
Au Bon Pain,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:20 PM,+16178975079,"(42.35161, -71.07284)"
Au Bon Pain,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:34 PM,+16178975079,"(42.35875, -71.056199)"
Au Bon Pain,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:01 PM,+16178975079,"(42.336106, -71.10748)"
Au Bon Pain,,Active,FT,Eating & Drinking w/ Take Out,03/19/2014 01:52:30 PM,+16178975072,"(42.349591, -71.063586)"
Au Bon Pain (Joslin Pl.),,Active,FT,Eating & Drinking w/ Take Out,05/10/2012 11:20:36 AM,+16174232100,"(42.3386, -71.108501)"
Au Bon Pain Kiosk (1st Fl.),,Active,FT,Eating & Drinking w/ Take Out,04/05/2013 10:46:41 AM,+16177238483,"(42.35875, -71.056199)"
Au Bon Pain Kiosk@Childrens Museum,,Active,FS,Eating & Drinking,05/07/2013 08:20:55 AM,+16178975079,"(42.351967, -71.049777)"
Au Bon Pain Outdoor Cafe,,Active,FT,Eating & Drinking w/ Take Out,06/08/2007 11:46:16 AM,+16178975079,"(42.355105, -71.049245)"
Au Bon Pain Store 511,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:13 PM,+16178975079,"(42.350021, -71.055941)"
Audubon,,Active,FS,Eating & Drinking,04/01/2014 12:57:14 PM,+16174211910,"(42.34741, -71.10321)"
AUNTIE VIE'S BAKERY & CAFE,,Active,FT,Eating & Drinking w/ Take Out,03/11/2013 10:30:19 AM,+19788213519,"(42.29469, -71.07168)"
Aurum,,Active,FS,Eating & Drinking,01/02/2014 11:26:18 AM,+16175223377,"(42.322376, -71.109129)"
Avana Express Bar,,Active,FT,Eating & Drinking w/ Take Out,05/13/2013 02:02:15 PM,+19173531653,"(42.351624, -71.061017)"
Avana Market Place,,Active,FT,Eating & Drinking w/ Take Out,04/03/2009 10:23:20 AM,+16174263331,"(42.351664, -71.060968)"
Azama Grill,,Active,FT,Eating & Drinking w/ Take Out,12/30/2009 08:22:42 AM,+16174477646,"(42.354462, -71.13227)"
B & G OYSTERS LTD.,,Active,FS,Eating & Drinking,12/07/2006 01:35:51 PM,+16174230550,"(42.343895, -71.071263)"
B C High School (Faculty Food Serv.),,Active,FS,Eating & Drinking,10/27/2009 02:58:15 PM,+16174363900,"(42.316565, -71.046878)"
B Good Burger,,Active,FS,Eating & Drinking,01/07/2010 02:41:21 PM,+15088782766,"(42.346999, -71.087817)"
B Good Burger,,Active,FS,Eating & Drinking,04/15/2010 01:11:48 PM,+15088782766,"(42.357884, -71.058215)"
B. Good,,Active,FS,Eating & Drinking,12/07/2006 01:35:56 PM,+16174245252,"(42.34682, -71.07543)"
B. Good,,Active,FS,Eating & Drinking,04/27/2012 02:14:41 PM,+15088782766,"(42.353955, -71.05802)"
B. U. Einsteins Bagels,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:57 PM,+16173532947,"(42.350117, -71.104278)"
B.U. WEST CAMPUS,,Active,FS,Eating & Drinking,12/07/2006 01:34:22 PM,+16173532947,"(42.3532, -71.1221)"
BACCO RISTORANTE & BAR,,Active,FS,Eating & Drinking,12/07/2006 01:35:17 PM,+16176292622,"(42.36418, -71.05538)"
Back Bay Harry's,,Active,FS,Eating & Drinking,08/07/2013 11:59:36 AM,+10000000000,"(42.348822, -71.072098)"
Back Bay Sandwich,,Active,FT,Eating & Drinking w/ Take Out,06/22/2011 10:14:39 AM,+16174511561,"(42.35091, -71.07152)"
Back Bay Social Club,,Active,FS,Eating & Drinking,06/18/2010 12:55:11 PM,+16172680233,"(42.34874, -71.083445)"
Back Deck,,Active,FS,Eating & Drinking,09/15/2011 12:56:14 PM,+16174261266,"(42.354426, -71.062191)"
BACKWOODS PIZZA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:03 PM,+16174457400,"(42.321739, -71.072511)"
Bailey & Sage,,Active,FT,Eating & Drinking w/ Take Out,04/08/2010 01:12:51 PM,+10000000000,"(42.35896, -71.05512)"
Bain Capital (40th Fl),,Active,FS,Eating & Drinking,05/06/2011 11:09:25 AM,+16175162000,"(42.34921, -71.07513)"
BAMBOO RESTAURANT,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:08 PM,+16177348192,"(42.343246, -71.142709)"
BANGKOK BISTRO,,Active,FT,Eating & Drinking w/ Take Out,03/07/2013 10:48:01 AM,+16177109104,"(42.349345, -71.156794)"
BANGKOK BLUE THAI,,Active,FS,Eating & Drinking,12/07/2006 01:35:51 PM,+16172661010,"(42.35006, -71.0785)"
Bani Restaurant,,Active,FS,Eating & Drinking,12/07/2006 01:36:15 PM,+16174690294,"(42.278345, -71.137197)"
Bar Louie,,Active,FS,Eating & Drinking,09/28/2012 10:27:49 AM,+12148454800,"(42.34575, -71.10049)"
Bar Medallo,,Active,FS,Eating & Drinking,03/23/2011 03:26:07 PM,+16175672727,"(42.379899, -71.026814)"
BARNEY'S GRILL,,Active,FS,Eating & Drinking,12/07/2006 01:35:06 PM,+16175677170,"(42.376526, -71.033798)"
Barracuda Tavern,,Active,FS,Eating & Drinking,07/29/2010 01:16:52 PM,+16174820301,"(42.35702, -71.06069)"
Barrington Coffee,,Active,FT,Eating & Drinking w/ Take Out,07/15/2011 10:12:38 AM,+10000000000,"(42.350637, -71.048443)"
BARRY'S BOOTCAMP,,Active,FS,Eating & Drinking,04/16/2013 11:18:00 AM,+10000000000,"(42.3538, -71.05977)"
Bartlett Square Cafe,,Active,FS,Eating & Drinking,12/06/2012 12:37:26 PM,+10000000000,"(42.31043, -71.106539)"
Basho Japanese Brasserie,,Active,FS,Eating & Drinking,10/29/2009 01:22:25 PM,+16178598886,"(42.34442, -71.09961)"
Basho Japanese Sushi@B.U.(G.S.U.),,Active,FT,Eating & Drinking w/ Take Out,02/28/2013 08:06:53 AM,+16172621338,"(42.350873, -71.108963)"
Battery Park Restaurant & Lounge,,Active,FS,Eating & Drinking,07/29/2010 11:20:30 AM,+16173507275,"(42.357376, -71.054403)"
BEACON HILL HOTEL & BISTRO,,Active,FS,Eating & Drinking,12/07/2006 01:35:18 PM,+16177237575,"(42.35692, -71.06965)"
Beacon Hill Pub,,Active,FS,Eating & Drinking,12/07/2006 01:33:56 PM,+16175231895,"(42.360479, -71.070569)"
Bean & Leaf Cafe,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:36 PM,+15089420923,"(42.358135, -71.053058)"
Bean and Cream Co.,,Active,FT,Eating & Drinking w/ Take Out,10/07/2010 09:43:44 AM,+10000000000,"(42.252129, -71.118362)"
BEANTOWN BURRITO,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:02 PM,+17813567770,"(42.340338, -71.109399)"
Beantown Hoagie,,Active,FT,Eating & Drinking w/ Take Out,09/16/2010 09:14:42 AM,+17817340300,"(42.35806, -71.055079)"
Beantown Pho and Grill,,Active,FS,Eating & Drinking,05/05/2014 12:20:44 PM,+16174709940,"(42.34912, -71.08342)"
Beantown Pub,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:05 PM,+16174260111,"(42.357232, -71.060979)"
Bell In Hand,,Active,FS,Eating & Drinking,12/07/2006 01:34:00 PM,+16172272098,"(42.3616, -71.05706)"
Bella Arianna,,Active,FS,Eating & Drinking,12/31/2013 08:17:39 AM,+17023015045,"(42.351401, -71.05752)"
Bella Luna Restaurant @ the Brewery,,Active,FS,Eating & Drinking,10/10/2008 12:32:58 PM,+16175243740,"(42.314637, -71.104489)"
Bella Vista,,Active,FS,Eating & Drinking,04/01/2007 08:35:15 AM,+10000000000,"(42.36402, -71.0545)"
Ben & Jerry's,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:47 PM,+16175365456,"(42.35031, -71.079)"
Ben and Jerry's,,Active,FT,Eating & Drinking w/ Take Out,12/23/2011 08:34:04 AM,+16178770252,"(42.351454, -71.06876)"
Benevento's,,Active,FS,Eating & Drinking,07/24/2009 10:05:55 AM,+16175937735,"(42.36427, -71.05536)"
BERKELEY PERK CAFE,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:00 PM,+16174260673,"(42.34678, -71.07061)"
BERKELEY RESIDENCE YWCA,,Active,FS,Eating & Drinking,12/07/2006 01:34:13 PM,+16173752542,"(42.34594, -71.0709)"
BERTUCCI'S BRICK OVEN PIZZA,,Active,FS,Eating & Drinking,12/07/2006 01:34:08 PM,+15083512577,"(42.359407, -71.055821)"
Beth Isreal Deaconess,,Active,FS,Eating & Drinking,04/13/2007 08:21:31 AM,+10000000000,"(42.33982, -71.10568)"
Bethlehem to Go,,Active,FT,Eating & Drinking w/ Take Out,09/27/2011 10:54:45 AM,+10000000000,"(42.352101, -71.13159)"
BETWEEN HOURS,,Active,FS,Eating & Drinking,06/06/2012 01:51:36 PM,+16177798330,"(42.351717, -71.13146)"
Bibim Restaurant,,Active,FS,Eating & Drinking,02/07/2012 11:06:13 AM,+16177875656,"(42.351497, -71.131379)"
Biddy Earlys,,Active,FS,Eating & Drinking,12/07/2006 01:35:20 PM,+16176549944,"(42.35464, -71.05374)"
Big Bites,,Active,FS,Eating & Drinking,12/03/2012 08:22:54 AM,+16174421402,"(42.29585, -71.115739)"
Big Guy's Cafe & Grill Inc.,,Active,FT,Eating & Drinking w/ Take Out,01/18/2011 02:29:05 PM,+16179736612,"(42.35952, -71.05866)"
Bijou Night Club,,Active,FS,Eating & Drinking,06/24/2011 09:46:39 AM,+16177924407,"(42.351234, -71.064128)"
Billares Colombia,,Active,FS,Eating & Drinking,03/01/2013 12:53:46 PM,+16175695740,"(42.37529, -71.0383)"
Bill's Bar,,Active,FS,Eating & Drinking,12/07/2006 01:34:51 PM,+16172680233,"(42.34733, -71.09499)"
BILLY TSE RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:34:45 PM,+16179665334,"(42.36385, -71.05146)"
Billy's Sub Shop,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:32 PM,+16174261822,"(42.34659, -71.07051)"
BILLY'S TEXAS B.B.Q.,,Active,FS,Eating & Drinking,12/07/2006 01:34:49 PM,+16172886161,"(42.29298, -71.07162)"
Bin 26 Enoteca,,Active,FS,Eating & Drinking,08/14/2007 02:45:28 PM,+16175122550,"(42.356745, -71.069988)"
BIRCH STREET BISTRO,,Active,FS,Eating & Drinking,12/07/2006 01:35:47 PM,+16179225666,"(42.26346, -71.15857)"
BISHOP'S MEDITERRANEAN,,Active,FT,Eating & Drinking w/ Take Out,01/31/2014 01:14:54 PM,+16177423300,"(42.362733, -71.06423)"
Bistro du Midi,,Active,FS,Eating & Drinking,12/07/2006 01:35:47 PM,+16174267878,"(42.351859, -71.069669)"
BK's Pub,,Active,FS,Eating & Drinking,12/07/2006 01:33:56 PM,+16173250928,"(42.285083, -71.129349)"
Black Rose,,Active,FS,Eating & Drinking,12/07/2006 01:34:05 PM,+16177422286,"(42.35944, -71.05379)"
Black Seeds,,Active,FS,Eating & Drinking,12/07/2006 01:34:50 PM,+16173380024,"(42.356002, -71.062138)"
BLACKSTONE GRILL,,Active,FS,Eating & Drinking,06/06/2014 09:18:55 AM,+16179826171,"(42.36066, -71.056626)"
BLACKSTONE GRILL,,Active,FS,Eating & Drinking,12/07/2006 01:36:25 PM,+16172858817,"(42.360853, -71.056685)"
BLASI'S CAFE,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:18 PM,+16178254566,"(42.28373, -71.05536)"
Bleacher Bar,,Active,FS,Eating & Drinking,04/02/2008 01:17:20 PM,+16172622424,"(42.347051, -71.098327)"
Blue Asia Cafe,,Active,FS,Eating & Drinking,10/08/2009 10:36:56 AM,+17812673366,"(42.353081, -71.130624)"
Blue Cross Blue Shield-Landmark Center,,Active,FT,Eating & Drinking w/ Take Out,09/17/2008 09:48:51 AM,+19788970660,"(42.344534, -71.102755)"
Blue Dragon,,Active,FS,Eating & Drinking,08/23/2012 01:10:36 PM,+16172626620,"(42.349391, -71.049735)"
Blue Hill Pizza,,Active,FT,Eating & Drinking w/ Take Out,07/27/2012 08:03:44 AM,+16174450044,"(42.31931, -71.07795)"
Blue Island,,Active,FT,Eating & Drinking w/ Take Out,06/20/2013 11:14:34 AM,+16174421277,"(42.311782, -71.081059)"
Blue Nile Restaurant,,Active,FT,Eating & Drinking w/ Take Out,09/13/2011 11:16:56 AM,+16175222758,"(42.32228, -71.10956)"
BLUE STAR RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:35:59 PM,+16173239638,"(42.28641, -71.13043)"
Blue State Coffee,,Active,FT,Eating & Drinking w/ Take Out,02/25/2013 11:23:43 AM,+18608820028,"(42.34968, -71.04281)"
Blue State Coffee@957 Comm. Ave. Boston,,Active,FS,Eating & Drinking,08/19/2010 02:54:08 PM,+18776262583,"(42.35191, -71.11889)"
Bluestone Bristro,,Active,FS,Eating & Drinking,11/13/2012 10:36:53 AM,+16172542254,"(42.340611, -71.151579)"
BOCA GRANDE RESTAURANT,,Active,FS,Eating & Drinking,03/25/2007 12:08:19 PM,+10000000000,"(42.34896, -71.153749)"
Bohemio's Restaurant,,Active,FT,Eating & Drinking w/ Take Out,04/13/2011 10:56:07 AM,+16175617777,"(42.37539, -71.038018)"
Boloco,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:32 PM,+16172662200,"(42.354845, -71.05391)"
Boloco,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:32 PM,+16172662200,"(42.35426, -71.0566)"
Boloco,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:32 PM,+16172662200,"(42.336353, -71.149998)"
Boloco,,Active,FT,Eating & Drinking w/ Take Out,08/03/2007 10:00:05 AM,+16172662200,"(42.35798, -71.05599)"
Boloco,,Active,FT,Eating & Drinking w/ Take Out,07/01/2010 10:09:33 AM,+10000000000,"(42.35064, -71.07645)"
Boloco - Berklee,,Active,FT,Eating & Drinking w/ Take Out,11/05/2009 09:38:53 AM,+16172662200,"(42.346952, -71.088046)"
Boloco Inspired Burritos,,Active,FT,Eating & Drinking w/ Take Out,09/05/2008 08:31:12 AM,+16172662200,"(42.352269, -71.067108)"
BON APPETIT RESTAURANT,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:16 PM,+16178255544,"(42.285777, -71.09125)"
Bonapita,,Active,FT,Eating & Drinking w/ Take Out,10/02/2013 11:07:04 AM,+14014515538,"(42.35537, -71.05877)"
Bonchon Allston,,Active,FS,Eating & Drinking,02/08/2012 11:03:55 AM,+16172548888,"(42.353081, -71.130624)"
Bonne Chance Cafe,,Active,FS,Eating & Drinking,07/22/2010 08:19:57 AM,+16177423115,"(42.364196, -71.059521)"
Borinquen Bakery & Cafe,,Active,FS,Eating & Drinking,12/09/2010 09:55:08 AM,+16172822500,"(42.315468, -71.061268)"
BOSTON BACK BAY HILTON,,Active,FS,Eating & Drinking,12/07/2006 01:35:06 PM,+16172361100,"(42.34645, -71.08526)"
Boston Bagel Company,,Active,FS,Eating & Drinking,09/20/2013 11:28:32 AM,+17818445959,"(42.335436, -71.035227)"
BOSTON BEANSTOCK COFFEE CO.,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:11 PM,+16177250040,"(42.363853, -71.055523)"
BOSTON BEER GARDEN,,Active,FS,Eating & Drinking,12/07/2006 01:34:43 PM,+16172680042,"(42.335867, -71.036051)"
Boston Beer Works,,Active,FS,Eating & Drinking,12/07/2006 01:34:24 PM,+16178962300,"(42.347163, -71.099081)"
Boston Big Easy,,Active,FT,Eating & Drinking w/ Take Out,01/24/2014 01:37:52 PM,+16172825700,"(42.302878, -71.085018)"
Boston Burger,,Active,FS,Eating & Drinking,09/09/2011 12:59:56 PM,+16175158752,"(42.346842, -71.088506)"
BOSTON COLLEGE CLUB,,Active,FS,Eating & Drinking,12/07/2006 01:34:57 PM,+10005238188,"(42.35477, -71.05613)"
Boston Common Coffee Co.,,Active,FT,Eating & Drinking w/ Take Out,12/14/2006 02:50:16 PM,+15083977896,"(42.353511, -71.056728)"
Boston Common Coffee Co.,,Active,FT,Eating & Drinking w/ Take Out,09/11/2008 10:46:39 AM,+16176959700,"(42.35443, -71.06218)"
Boston Common Hotel & Conference Center,,Active,FS,Eating & Drinking,06/15/2012 01:05:05 PM,+16179337700,"(42.348329, -71.075011)"
Boston Eagle,,Active,FS,Eating & Drinking,12/07/2006 01:34:00 PM,+16175424494,"(42.34468, -71.06998)"
Boston Globe Cafeteria,,Active,FS,Eating & Drinking,04/27/2007 01:54:15 PM,+16175174260,"(42.315997, -71.049211)"
Boston Globe Kiosk # 2,,Active,FT,Eating & Drinking w/ Take Out,11/03/2008 09:14:46 AM,+16179922274,"(42.315997, -71.049211)"
Boston Kabdo Co.,,Active,FS,Eating & Drinking,02/04/2011 10:04:55 AM,+16172573809,"(42.352901, -71.132751)"
Boston Kebab House,,Active,FS,Eating & Drinking,05/31/2012 08:52:31 AM,+16172276900,"(42.358114, -71.055317)"
Boston Kitchen Pizza,,Active,FS,Eating & Drinking,10/23/2009 11:30:15 AM,+16174820085,"(42.35107, -71.06308)"
Boston Living Center,,Active,FS,Eating & Drinking,12/07/2006 01:34:49 PM,+16172361012,"(42.348579, -71.07304)"
BOSTON MARKET,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:15 PM,+13032789500,"(42.290076, -71.044879)"
Boston Marriott Long Wharf - FS,,Active,FS,Eating & Drinking,12/07/2006 01:35:01 PM,+16172270800,"(42.36012, -71.05091)"
Boston Marriott Longwharf,,Active,FS,Eating & Drinking,12/07/2006 01:35:01 PM,+16172270800,"(42.36012, -71.05091)"
Boston Medical Center,,Active,FS,Eating & Drinking,07/19/2007 03:52:40 PM,+12514613050,"(42.334723, -71.073488)"
Boston News Cafe,,Active,FS,Eating & Drinking,10/21/2010 08:57:31 AM,+16173067954,"(42.35933, -71.05745)"
Boston News Cafe (90 Arch St.),,Active,FT,Eating & Drinking w/ Take Out,11/10/2011 10:16:46 AM,+16173067954,"(42.354732, -71.058368)"
